Patient ID: test 
Source fiber Name: miniLBS
Study File: 
Number of Lasers: 4 
Data Calibrated: 
Source-Detector (mm): 10.000 
Number of Scans: 1 
Number of sweeps per scan: 30
Freq Range (MHz): 50 - 299 
Number of Points: 250 
Date acquired: test 
Laser names: 785,808,830,850,
Comment: 
Pos X: 0.000, Pos Y: 0.000, Theta: 0.000, Phi: 0.000
*****************************end of header
Frequency (MHz) 	Phase 	Amplitude 	Phase 	Amplitude 	Phase 	Amplitude 	Phase 	Amplitude 	
50.0	-29.911189086227438	1.555502750021308	-38.81246639444657	1.9816323935989557	69.91155473686761	1.662414276868963	47.2731930210211	1.062422060860569
51.0	-9.761299391031171	1.562336847508214	-18.752643185989328	1.9906689212045956	92.07959955620674	1.6621774441411394	68.59948818321594	1.0652836835710147
52.0	10.284397693356862	1.5767785640648244	1.1163540983730973	2.003235101416302	114.04574978761032	1.6678705495435746	90.23461491950636	1.0740062992016184
53.0	30.274164557598063	1.583817765841831	20.940422255529896	2.0161838894422766	135.83509720632995	1.687161531530921	111.676907777299	1.0795226333679773
54.0	50.12757305626788	1.5877561997081147	40.764561593926196	2.033332029507465	158.0104350122087	1.6952870313443689	133.5387168809523	1.0820309284050367
55.0	70.45650919690729	1.606131318664967	60.84862634002947	2.037721780642343	180.54403722908089	1.7043316046122354	155.35491480950634	1.0930233088192665
56.0	91.08813860280652	1.6034910066513814	81.48440572974766	2.047403540332691	203.13370230238598	1.7037033358578704	177.50888692525723	1.100465793366027
57.0	112.09783565956387	1.5951719428649096	102.85689057479028	2.0273458731171536	226.25901668444166	1.6772131859567956	200.30279685153508	1.0830234009814637
58.0	132.85928591088472	1.5328196050095262	123.19508083759054	1.945815079058462	248.87480085366957	1.6315480501444164	222.12211281260272	1.043193770232114
59.0	153.0391875259249	1.4142735965656614	143.42869482745368	1.8124878633623673	271.2274164914497	1.500537502061497	244.33402961665107	0.9709582926420028
60.0	169.48215924929272	1.3128037991097246	159.64273008385047	1.663493431173105	289.4590659889576	1.3871354890825052	262.1080254503802	0.8858538238076182
61.0	184.26904784879363	1.2732302982335741	174.559351780327	1.6086366848244356	306.6733687443058	1.333574820063893	278.37476735978527	0.8672832271297957
62.0	200.05940090999573	1.264379272690113	189.44590009587594	1.597929373244136	323.7755372386695	1.3244841568233834	295.25569717309037	0.8603226129546784
63.0	216.27845505553722	1.2634714645945875	205.75961576410845	1.6089749022712	342.2393512598565	1.3257793423427053	313.6541876546757	0.8640638188920248
64.0	232.6219602631227	1.2734313031939881	221.91246929002898	1.6140587370206976	360.7432205961811	1.3259198448038279	331.3525592160994	0.8605479682813225
65.0	249.22415668404838	1.2726422735309073	238.79509729837642	1.628076026130933	379.217263632163	1.3361184851096115	349.8541011011252	0.8690722567132995
66.0	265.953114676406	1.2820896835240128	255.23326948432427	1.6286958729469803	398.51506452647567	1.341176328972709	368.87365532341676	0.8723658425969085
67.0	282.9056315321335	1.2853553114491878	272.2721604256524	1.6360861048630342	417.29080123361496	1.3368139559176382	387.20251484962125	0.8756096131042275
68.0	299.50649413754803	1.280079625719651	289.14065417571186	1.6322513323180052	436.1245032671315	1.33566443599295	405.4672794861375	0.8666387811279002
69.0	316.45348698768925	1.2859686226383458	305.8728730330298	1.6311078596821007	455.0841432597957	1.3346276044864522	424.2315701652862	0.8716638681718738
70.0	333.6114057435514	1.2792647142871	322.4661211600005	1.6319114957576477	473.9390163004211	1.3289085907006473	442.27752180881174	0.8765110089287701
71.0	350.0070408528398	1.2824526767878128	338.93396114704234	1.6291649806506923	492.257974787115	1.327762815361701	460.6553655096396	0.8737835871387956
72.0	366.2499340132288	1.2764626016987344	355.2573471865553	1.624533091308295	511.0343720792118	1.3268017654697917	478.6916916097895	0.8670076261170394
73.0	382.7397286176944	1.2754833816088935	371.8049367737082	1.6212313149262803	529.5085446806775	1.319938955931432	497.0926346684723	0.8683316332260613
74.0	399.0264042292247	1.2788904999022694	388.06006438851813	1.6138679879136164	548.2591638896404	1.3149886179791652	515.0393467545473	0.868060143996143
75.0	415.2302330053548	1.2757588186127808	404.50466381571846	1.6123520699316625	566.4635753949511	1.3097146486708882	532.989550022656	0.8732395433663368
76.0	431.41131755344054	1.2821032630370524	420.5543274717452	1.612418774749705	585.4402160358455	1.3105431527823739	550.5014288066948	0.8608967028080904
77.0	447.8122717135527	1.2813582731658726	437.1412880145509	1.6143574020809537	603.4717598668709	1.3046109501773036	569.1674674503038	0.8654752971259242
78.0	464.0554887566402	1.285230849580295	453.0588415357229	1.617146860836512	621.8913411150173	1.3034358610429797	586.7145561415169	0.8654596787324962
79.0	480.1768128764724	1.2851334497739673	469.13536914746305	1.6196390202425304	640.0736349816442	1.304192236496776	604.1666838627893	0.8672426493220051
80.0	496.46051437291766	1.2902567212970544	484.84953347705334	1.6239049179552683	658.3494171929304	1.2967430592605376	622.4433289101747	0.8697834732015047
81.0	512.1659158748229	1.2942041713664285	501.0991971045509	1.6217222466568098	676.4795324924589	1.2979559998776031	640.1799308233876	0.8701277208701312
82.0	528.3472603204392	1.2872233220040443	517.1941921500455	1.6269586646901668	694.7999651302283	1.287431039540606	658.2477685846266	0.8666491014556328
83.0	544.0764386227775	1.285325403826362	533.1310691332009	1.6255624202686927	712.5218502516841	1.2984194279728862	675.6433898045168	0.8657037018396153
84.0	560.6381509189847	1.3006194826570685	544.2203609193597	1.7574145044928018	731.344388719148	1.280518723929992	692.7803177584448	0.8764821408506668
85.0	576.5717848642406	1.3098183293430885	565.4874206525541	1.6287045186574176	748.1305412462981	1.2747432194007062	710.8534379002573	0.8571786809799492
86.0	592.4248382369225	1.3138206561631394	581.353514146536	1.6347493568804523	766.0377668267478	1.2255656036393086	728.6172949554378	0.8719604864851547
87.0	608.4671622523417	1.3103167146013952	597.7418844117568	1.6292167853964252	785.2745011931804	1.2833194384660407	746.6389051378212	0.8739223249962762
88.0	624.6735079844653	1.3142886274421655	613.1805003862803	1.6256108427405729	803.4159806807079	1.2788050051332809	764.349554945948	0.8720502235557697
89.0	640.3800502359135	1.3153268969145786	629.2725177429817	1.6271466448449268	821.5888666033148	1.2834217758100488	781.9946844926682	0.8689274241048706
90.0	656.4784584252344	1.3227430018790547	645.1563260621472	1.6275640386492984	839.8607226733736	1.2835524472416207	799.7948157002622	0.8752609221683251
91.0	672.6396189884945	1.3208129126465629	660.997566768036	1.6296480583002335	858.3526058235896	1.2785080494656909	817.556974846605	0.8728260181950855
92.0	688.3653868819192	1.319103049315642	677.2479753953755	1.627852789653889	876.1704458947472	1.2681444805989743	835.1157431168261	0.866937302210971
93.0	704.7193096332526	1.3173360881773	692.8362177434151	1.6313910946408918	894.3612665037501	1.2613678966389328	852.2740471737008	0.8546187893987373
94.0	720.6244915682729	1.307844498727735	708.8305889030182	1.6158240957168153	911.8796021522137	1.2577978669613352	870.2540400048102	0.860198051499966
95.0	736.2466196948678	1.3116007588651684	724.7408313470215	1.6261587359659628	930.2710174691051	1.2541612749465865	887.8116723043653	0.8586660547935426
96.0	752.4362821989984	1.2990668249822679	740.4268936292028	1.6113055432031442	948.1533208541298	1.236692423762692	904.7937679731941	0.8602033465226284
97.0	767.778288311114	1.2984809022564126	755.6340464595442	1.605365551608597	966.2768033388813	1.2351391074385318	922.5731307117493	0.8576652270486844
