Patient ID: test 
Source fiber Name: miniLBS
Study File: 
Number of Lasers: 4 
Data Calibrated: 
Source-Detector (mm): 10.000 
Number of Scans: 1 
Number of sweeps per scan: 74
Freq Range (MHz): 50 - 299 
Number of Points: 250 
Date acquired: test 
Laser names: 785,808,830,850,
Comment: 
Pos X: 670.636, Pos Y: 116.705, Theta: -2.197, Phi: 0.064
*****************************end of header
Frequency (MHz) 	Phase 	Amplitude 	Phase 	Amplitude 	Phase 	Amplitude 	Phase 	Amplitude 	
50.0	-30.190202552844276	1.2784421940364605	-39.403057435590824	1.6492791411481211	69.2454771445115	1.4152403844768602	46.52882407624579	0.9306595423810735
51.0	-10.451420612932537	1.2926657727579853	-19.341929895811845	1.6510364033053464	91.16392466832406	1.4174333000774897	67.69254722237382	0.9437358693698661
52.0	9.809576035315656	1.2957981048075118	0.36931739803899066	1.6600409789933188	112.9108945877577	1.4375995310092278	89.75803979918318	0.9405999120819185
53.0	30.027537702927663	1.3042830893316457	19.94735897379479	1.6709951373040222	134.7753508306094	1.4430284091279886	111.37238796486173	0.9527599913180693
54.0	49.73478694897571	1.3148917923197785	40.21421958608673	1.6879839041995077	157.42297015090628	1.4598113333087632	133.36201383479005	0.9594150887264805
55.0	70.2720771423488	1.325842195297185	60.360118291586694	1.7012041232641237	179.33005686312305	1.4565477887593128	154.0953495916817	0.9649358255499907
56.0	91.11179585611174	1.3228274176040253	81.53201702420017	1.7065505071986002	202.35904571193635	1.4674050138727484	176.82933375852681	0.9723349556744384
57.0	112.42448641772926	1.2982501057710083	102.8195401165699	1.6689127509183004	226.20646632947535	1.4381881057203751	200.4876684151664	0.9522346517139932
58.0	132.48896592072083	1.2387750279963905	123.27985005251547	1.5904418465118142	248.61969946310268	1.3642060811643586	221.53938924447735	0.9023407677318551
59.0	152.53393559612172	1.1326073012882274	142.6128898080559	1.4730234767044723	270.3523425411267	1.2639410632485488	242.93801345049337	0.8349016322671285
60.0	168.150860178891	1.0786456807390283	157.72075641813464	1.369537733126229	287.281978413724	1.1839856933339679	260.59552912079664	0.7749981633331694
61.0	183.16572944701448	1.0453356201723596	172.60465436509185	1.3345526283372136	305.2402404756581	1.1370601528551891	277.00789481907873	0.7698016052694073
62.0	199.77073243077757	1.0483995390543	188.20526807505544	1.3396424342874558	322.6257112932963	1.1413010792218956	294.2104983415025	0.7551862266841575
63.0	215.7365287799369	1.0516574430652526	204.27669512307668	1.3446940977111763	340.56868469317607	1.1317184175733241	312.29157367406026	0.7701932055360184
64.0	231.863554158998	1.0487001906212239	220.4501221144721	1.3561092501757244	359.69423695827976	1.1405525318439855	330.8088098917866	0.7704507069713649
65.0	248.53457604543541	1.0526286132519742	237.4896558880471	1.357074829632241	378.0090797834993	1.1547328048614156	348.90637332208547	0.7756045407486104
66.0	265.15322817571916	1.0563048590693471	253.98832908585402	1.3513447252394901	396.972813257299	1.1535104551658881	368.0219609661711	0.766174845627598
67.0	282.0803728921478	1.066209499028212	271.20602319002666	1.3671597255015808	416.0816026006063	1.1612064990975122	385.77437292037223	0.7693328091189543
68.0	298.739739253918	1.0656098307304083	287.61854238308507	1.3559462264013205	435.09467446282764	1.1465846180400379	405.2615133048906	0.7748216107962418
